600001,1
600002,2
600003,1
600004,2
600005,1
600006,1
600007,1
600008,1
600009,1
600010,1
600011,1
600012,1
600013,1
600014,1
600015,1
600016,1
600017,1
600018,1
600019,1
600020,1
600021,1
600022,1
600023,1
600024,1
600025,1
600026,1
600027,1
600028,1
600029,1
600030,1
600031,1
600032,1
600033,1
600034,1
600035,1
600036,1
600037,1
600038,1
600039,1
600040,1
600041,1
600042,1
600043,1
600044,1
600045,1
600046,1
600047,1
600048,1
600049,1
600050,1
600051,1
600052,1
600053,1
600054,1
600055,1
600056,1
600057,1
600058,1
600059,1
600060,1
600061,1
600062,1
600063,1
600064,1
600065,1
600066,1
600067,1
600068,1
600069,1
600070,1
600071,1
600072,1
600073,1
600074,1
600075,1
600076,1
600077,1
600078,1
600079,1
600080,1
600081,1
600082,1
600083,1
600084,1
600085,1
600086,1
600087,1
600088,1
600089,1
600090,1
600091,1
600092,1
600093,1
600094,1
600095,1
600096,1
600097,1
600098,1
600099,1
600100,1
